date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:56	289/289	---M--	302	error ('Found')	text/html	date:Mon,%2030%20Sep%202019%2007:35:55%20GMT	http://selab.hanyang.ac.kr/contact/	C:/WEBAPP/wow/selab.hanyang.ac.kr/contact/index.html	(from https://selab.hanyang.ac.kr/)
16:35:56	15787/15787	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202019%2007:35:55%20GMT	https://selab.hanyang.ac.kr/courses/cse326/2019/index.php	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/index.html	(from https://selab.hanyang.ac.kr/)
16:35:56	297/297	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202019%2007:35:55%20GMT	https://selab.hanyang.ac.kr/courses/cse6050/2019/index.php	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse6050/2019/index.php	(from https://selab.hanyang.ac.kr/)
16:35:56	308/308	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202019%2007:35:56%20GMT	https://selab.hanyang.ac.kr/common/styles/images/animated-overlay.gif	C:/WEBAPP/wow/selab.hanyang.ac.kr/common/styles/images/animated-overlay.gif	(from https://selab.hanyang.ac.kr/common/styles/jquery-ui.css)
16:35:56	319/319	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202019%2007:35:56%20GMT	https://selab.hanyang.ac.kr/common/styles/images/ui-bg_flat_75_ffffff_40x100.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/common/styles/images/ui-bg_flat_75_ffffff_40x100.png	(from https://selab.hanyang.ac.kr/common/styles/jquery-ui.css)
16:35:57	328/328	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202019%2007:35:56%20GMT	https://selab.hanyang.ac.kr/common/styles/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/common/styles/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from https://selab.hanyang.ac.kr/common/styles/jquery-ui.css)
16:35:57	319/319	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202019%2007:35:57%20GMT	https://selab.hanyang.ac.kr/common/styles/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/common/styles/images/ui-bg_glass_75_e6e6e6_1x400.png	(from https://selab.hanyang.ac.kr/common/styles/jquery-ui.css)
16:35:57	319/319	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202019%2007:35:57%20GMT	https://selab.hanyang.ac.kr/common/styles/images/ui-bg_glass_75_dadada_1x400.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/common/styles/images/ui-bg_glass_75_dadada_1x400.png	(from https://selab.hanyang.ac.kr/common/styles/jquery-ui.css)
16:35:57	319/319	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202019%2007:35:57%20GMT	https://selab.hanyang.ac.kr/common/styles/images/ui-bg_glass_65_ffffff_1x400.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/common/styles/images/ui-bg_glass_65_ffffff_1x400.png	(from https://selab.hanyang.ac.kr/common/styles/jquery-ui.css)
16:35:58	319/319	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202019%2007:35:57%20GMT	https://selab.hanyang.ac.kr/common/styles/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/common/styles/images/ui-bg_glass_55_fbf9ee_1x400.png	(from https://selab.hanyang.ac.kr/common/styles/jquery-ui.css)
